STATE FIPS,COUNTY FIPS,PLANNING REGION FIPS,PLANNING REGION NAME,TOWN FIPS,TOWN NAME,SEX,AGEGRP,AGE_CODE,ALL_RACE-ETHN,NH_WHITE,NH_BLACK,NH_AIAN,NH_ASIAN,NH_NHOPI,NH_TOM,HISP
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,10--14,3,567,388,14,0,42,0,25,98
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,15--19,4,553,404,17,0,52,0,17,63
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,20--24,5,451,363,16,0,30,0,6,36
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,25--29,6,383,322,2,0,19,0,8,32
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,30--34,7,406,311,11,0,35,0,10,39
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,35--39,8,516,388,14,0,43,0,12,59
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,40--44,9,532,390,6,0,53,0,9,74
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,45--49,10,571,466,11,3,50,0,8,33
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,50--54,11,739,612,16,0,43,0,10,58
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,55--59,12,816,718,15,0,24,0,16,43
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,60--64,13,719,627,15,0,29,0,7,41
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,65--69,14,613,554,9,0,17,0,10,23
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,70--74,15,471,429,11,0,14,0,1,16
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,75--79,16,340,313,2,0,10,0,0,15
09,001,190,Western Connecticut Planning Region,08980,Brookfield town,FEMALE,80--84,17,217,201,4,0,4,0,0,8
